iter	Passed	Remaining
409	4741	6823
410	4749	6806
411	4758	6790
412	4766	6775
413	4775	6759
414	4784	6743
415	4793	6729
416	4801	6712
417	4809	6696
418	4819	6682
419	4828	6667
420	4839	6656
421	4849	6642
422	4857	6626
423	4867	6611
424	4877	6598
425	4896	6598
426	4908	6587
427	4918	6573
428	4927	6558
429	4935	6542
430	4945	6528
431	4954	6514
432	4962	6497
433	4972	6485
434	4980	6468
435	4987	6451
436	4996	6437
437	5004	6420
438	5013	6406
439	5020	6389
440	5030	6376
441	5038	6360
442	5046	6345
443	5055	6330
444	5064	6316
445	5071	6299
446	5081	6286
447	5092	6274
448	5102	6261
449	5109	6244
450	5119	6232
451	5129	6219
452	5140	6206
453	5149	6193
454	5157	6177
455	5170	6167
456	5182	6158
457	5203	6158
458	5222	6155
459	5244	6156
460	5266	6157
461	5282	6152
462	5292	6138
463	5301	6124
464	5309	6108
465	5319	6096
466	5328	6081
467	5336	6066
468	5346	6053
469	5354	6037
470	5362	6023
471	5373	6010
472	5382	5996
473	5391	5983
474	5401	5970
475	5413	5959
476	5421	5944
477	5439	5939
478	5449	5927
479	5457	5912
480	5465	5896
481	5474	5883
482	5482	5868
483	5492	5855
484	5501	5841
485	5511	5828
486	5517	5812
487	5527	5799
488	5535	5784
489	5544	5770
490	5552	5755
491	5561	5742
492	5569	5727
493	5578	5714
494	5587	5700
495	5597	5687
496	5606	5673
497	5614	5659
498	5627	5650
499	5641	5641
500	5655	5632
501	5664	5619
502	5674	5606
503	5689	5599
504	5709	5596
505	5721	5585
506	5728	5570
507	5737	5556
508	5746	5543
509	5754	5528
510	5763	5515
511	5771	5501
512	5780	5487
513	5789	5473
514	5797	5460
515	5807	5446
516	5814	5431
517	5828	5423
518	5852	5423
519	5867	5416
520	5888	5414
521	5900	5402
522	5911	5391
523	5921	5378
524	5931	5366
525	5940	5352
526	5947	5338
527	5955	5323
528	5964	5310
529	5973	5297
530	5983	5284
531	5991	5270
532	6001	5258
533	6021	5255
534	6033	5244
535	6044	5232
536	6068	5232
537	6085	5225
538	6101	5218
539	6115	5209
